,property_id,displayPrice,dateSold,tenure,newBuild
0,7ef3b02b-f9bf-4841-9acf-418ef77f61d4,"£315,000",17 Mar 2023,Freehold,False
1,7ef3b02b-f9bf-4841-9acf-418ef77f61d4,"£98,500",31 Aug 2001,Freehold,False
2,7ef3b02b-f9bf-4841-9acf-418ef77f61d4,"£92,000",2 Mar 2001,Freehold,False
3,7ef3b02b-f9bf-4841-9acf-418ef77f61d4,"£83,500",10 Jan 2000,Freehold,False
4,176edf8e-c0d2-4207-9293-c38f933f0cde,"£170,000",17 Mar 2023,Freehold,False
5,176edf8e-c0d2-4207-9293-c38f933f0cde,"£85,000",1 Dec 2017,Freehold,False
6,79b65e2f-c3ba-445f-ac72-f2e7521e234f,"£110,000",10 Mar 2023,Leasehold,False
7,d954e969-602c-43fd-8768-da110a2a6985,"£125,000",10 Mar 2023,Freehold,False
8,d954e969-602c-43fd-8768-da110a2a6985,"£82,000",1 May 2014,Freehold,False
9,d954e969-602c-43fd-8768-da110a2a6985,"£73,500",29 Jan 2010,Freehold,False
10,a57563ab-ffce-4f74-a14a-cc18d7fb57dc,"£155,000",6 Mar 2023,Freehold,False
11,d360be67-3cd3-4e9b-94df-4a6b6e29a4a0,"£175,000",3 Mar 2023,Freehold,False
12,0d3c4c1c-4778-472f-928f-cd3f04ef08a1,"£150,000",2 Mar 2023,Freehold,False
13,0d3c4c1c-4778-472f-928f-cd3f04ef08a1,"£118,000",5 Sep 2007,Freehold,False
14,1818352a-13b6-44f3-8731-6d9c7458430a,"£180,000",1 Mar 2023,Freehold,False
15,1818352a-13b6-44f3-8731-6d9c7458430a,"£109,950",5 May 2004,Freehold,False
16,1818352a-13b6-44f3-8731-6d9c7458430a,"£55,950",1 Feb 1999,Freehold,False
17,5354956b-3915-4357-bfaf-2ccf5964918a,"£361,500",1 Mar 2023,Freehold,False
18,5354956b-3915-4357-bfaf-2ccf5964918a,"£165,950",29 Aug 2003,Freehold,True
19,d3a04dec-6569-4bf6-8101-9e6e442b5b97,"£220,000",28 Feb 2023,Leasehold,False
20,d3a04dec-6569-4bf6-8101-9e6e442b5b97,"£58,950",24 Apr 1998,Leasehold,True
21,6fe10950-4b55-434b-8ee1-52416ab82bd6,"£196,000",27 Feb 2023,Freehold,False
22,6fe10950-4b55-434b-8ee1-52416ab82bd6,"£124,999",29 Nov 2006,Freehold,False
23,6fe10950-4b55-434b-8ee1-52416ab82bd6,"£97,000",18 Dec 2003,Freehold,False
24,57880787-4570-4600-bc9a-774b57420ece,"£156,000",27 Feb 2023,Leasehold,False
25,57880787-4570-4600-bc9a-774b57420ece,"£54,500",12 Apr 2001,Leasehold,False
26,0970de06-fb7c-4893-87db-2ac9f88433a5,"£180,000",24 Feb 2023,Freehold,False
27,0970de06-fb7c-4893-87db-2ac9f88433a5,"£135,000",25 Nov 2016,Freehold,False
28,0970de06-fb7c-4893-87db-2ac9f88433a5,"£95,000",4 Sep 2006,Freehold,False
29,0970de06-fb7c-4893-87db-2ac9f88433a5,"£88,000",20 Oct 2005,Freehold,False
30,a9d56255-9181-476e-94dd-8fa8263d6c59,"£155,000",24 Feb 2023,Freehold,False
31,a9d56255-9181-476e-94dd-8fa8263d6c59,"£77,500",24 Aug 2010,Freehold,False
32,015b2b16-7dae-475f-bb40-156d817b1175,"£210,000",23 Feb 2023,Leasehold,False
33,015b2b16-7dae-475f-bb40-156d817b1175,"£122,500",18 Nov 2011,Leasehold,False
34,b9a434c5-e80a-4e82-9ebc-42d1c6dccdc7,"£350,000",23 Feb 2023,Freehold,False
35,b9a434c5-e80a-4e82-9ebc-42d1c6dccdc7,"£128,500",14 Dec 2001,Freehold,True
36,ec128e17-ed8f-44a5-b20a-fcd76f8f0a3c,"£170,000",21 Feb 2023,Freehold,False
37,ec128e17-ed8f-44a5-b20a-fcd76f8f0a3c,"£142,000",18 Dec 2020,Freehold,False
38,ec128e17-ed8f-44a5-b20a-fcd76f8f0a3c,"£113,000",31 Mar 2006,Freehold,False
39,ec128e17-ed8f-44a5-b20a-fcd76f8f0a3c,"£78,950",3 Mar 2003,Freehold,False
40,0103c03f-453d-48e6-9e6c-06895e246c14,"£188,000",20 Feb 2023,Freehold,False
41,0103c03f-453d-48e6-9e6c-06895e246c14,"£122,500",19 Dec 2013,Freehold,False
42,0103c03f-453d-48e6-9e6c-06895e246c14,"£85,000",12 Nov 2009,Freehold,False
43,0103c03f-453d-48e6-9e6c-06895e246c14,"£33,280",31 Mar 2003,Freehold,False
44,85ac1fc9-22cc-450d-b522-9f303eac7b92,"£155,000",20 Feb 2023,Freehold,False
45,8cfb1d68-741a-4cea-82e8-390a17c7798f,"£330,000",17 Feb 2023,Freehold,False
46,8cfb1d68-741a-4cea-82e8-390a17c7798f,"£232,500",1 Jun 2018,Freehold,True
47,c2307b45-3d98-42cc-9859-9c8cc1838c70,"£315,000",17 Feb 2023,Freehold,False
48,c2307b45-3d98-42cc-9859-9c8cc1838c70,"£269,995",12 Apr 2019,Freehold,True
49,1291a560-9826-4df7-8983-66b0dc0aa2a8,"£420,000",17 Feb 2023,Freehold,False
50,1291a560-9826-4df7-8983-66b0dc0aa2a8,"£340,995",27 Mar 2020,Freehold,True
51,6c9d5b96-533c-4710-b877-0c9527653929,"£220,000",17 Feb 2023,Freehold,False
52,0f7c6a7c-3de4-4da5-9aa3-c8dcc2d6e18b,"£185,000",13 Feb 2023,Freehold,False
53,08a852dc-6d27-4cfb-9f3c-30e889f65a54,"£133,000",13 Feb 2023,Freehold,False
54,d03a94fe-3b64-4dd5-9d91-0d2ae0730baa,"£650,000",10 Feb 2023,Freehold,False
